time,x,y,ignited,willignite,simtime,ignitionTime,sigma,spreadDir,rateOfSpread
2025-07-01 10:44:06,470685,5087040,1,1,846.443,846.443,0,333,0.0132086
2025-07-01 10:44:06,470690,5087050,0,1,846.443,1706.11,859.669,26,0.0130054
2025-07-01 10:44:06,470680,5087050,0,1,846.443,1676.22,829.778,333,0.0134739
2025-07-01 10:44:06,470680,5087030,1,0,846.443,inf,inf,0,0
2025-07-01 10:44:06,470695,5087040,0,1,846.443,859.667,13.2239,333,0.0130054
2025-07-01 10:44:06,470675,5087040,1,1,846.443,830.384,inf,26,0.0134641
2025-07-01 10:44:06,470690,5087030,1,0,846.443,inf,inf,0,0
2025-07-01 10:44:06,470685,5087040,1,1,846.443,846.443,inf,333,0.0132086
2025-07-01 10:44:19,470690,5087050,0,1,859.667,1706.11,846.445,26,0.0130054
2025-07-01 10:44:19,470705,5087040,1,1,859.667,185.862,inf,333,0.0601541
2025-07-01 10:44:19,470695,5087040,1,1,859.667,859.667,0,333,0.0130054
2025-07-01 10:44:19,470690,5087030,1,0,859.667,inf,inf,0,0
2025-07-01 10:44:19,470685,5087040,1,1,859.667,846.443,inf,333,0.0132086
2025-07-01 10:44:19,470700,5087050,0,1,859.667,1053.35,193.68,333,0.0128882
2025-07-01 10:44:19,470700,5087030,1,0,859.667,inf,inf,0,0
2025-07-01 10:44:19,470690,5087050,0,1,859.667,1703.18,843.511,333,0.0132545
2025-07-01 10:44:19,470705,5087040,1,1,859.667,185.862,inf,333,0.0601541
2025-07-01 10:44:19,470695,5087040,1,1,859.667,859.667,inf,333,0.0130054
2025-07-01 10:44:19,470690,5087030,1,0,859.667,inf,inf,0,0
2025-07-01 10:44:19,470685,5087040,1,1,859.667,846.443,inf,333,0.0132086
2025-07-01 10:44:19,470700,5087050,0,1,859.667,1053.35,193.68,333,0.0128882
2025-07-01 10:44:19,470700,5087030,1,0,859.667,inf,inf,0,0
2025-07-01 10:44:26,470670,5087050,0,1,866.38,1697.87,831.488,333,0.0128882
2025-07-01 10:44:26,470670,5087030,1,0,866.38,inf,inf,0,0
2025-07-01 10:44:26,470665,5087040,1,1,866.38,866.38,0,333,0.0129047
2025-07-01 10:44:26,470660,5087030,1,1,866.38,866.38,0,333,0.0129047
2025-07-01 10:44:26,470655,5087020,0,1,866.38,3634.56,2768.18,270,0.00275136
2025-07-01 10:44:26,470675,5087040,1,1,866.38,830.384,inf,26,0.0134641
2025-07-01 10:44:26,470665,5087020,1,0,866.38,inf,inf,0,0
2025-07-01 10:44:26,470670,5087050,0,1,866.38,1697.87,831.488,333,0.0128882
2025-07-01 10:44:26,470670,5087030,1,0,866.38,inf,inf,0,0
2025-07-01 10:44:26,470665,5087040,1,1,866.38,866.38,inf,333,0.0129047
2025-07-01 10:44:26,470660,5087050,0,1,866.38,1737.7,871.323,333,0.0128315
2025-07-01 10:44:26,470660,5087030,1,1,866.38,866.38,inf,333,0.0129047
2025-07-01 10:44:26,470655,5087020,0,1,866.38,3634.56,2768.18,270,0.00275136
2025-07-01 10:44:26,470650,5087030,0,1,866.38,4546.57,3680.19,270,0.00271725
2025-07-01 10:44:26,470675,5087040,1,1,866.38,830.384,inf,26,0.0134641
2025-07-01 10:44:26,470655,5087040,0,1,866.38,1735.52,869.136,333,0.0128637
2025-07-01 10:44:26,470665,5087020,1,0,866.38,inf,inf,0,0
2025-07-01 10:46:16,470750,5087050,0,1,976.546,1574.82,598.27,90,0.0126041
2025-07-01 10:46:16,470740,5087050,1,1,976.546,781.426,inf,26,0.0592836
2025-07-01 10:46:16,470735,5087060,0,1,976.546,1704.2,727.652,333,0.012116
2025-07-01 10:46:16,470745,5087060,1,1,976.546,976.546,0,26,0.0572996
2025-07-01 10:46:16,470740,5087070,0,1,976.546,1891.73,915.186,333,0.0122165
2025-07-01 10:46:16,470750,5087070,0,1,976.546,1166.4,189.855,26,0.0588889
2025-07-01 10:46:16,470750,5087050,0,1,976.546,1574.82,598.27,90,0.0126041
2025-07-01 10:46:16,470740,5087050,1,1,976.546,781.426,inf,26,0.0592836
2025-07-01 10:46:16,470735,5087060,0,1,976.546,1704.2,727.652,333,0.012116
2025-07-01 10:46:16,470755,5087060,0,1,976.546,1768.41,791.869,90,0.0126284
2025-07-01 10:46:16,470745,5087060,1,1,976.546,976.546,inf,26,0.0572996
